DOB	Email	Name	ShippingAddress	City	State	ZIP
10/23/88	Sed@enimEtiam.com	Kylan Slater	"P.O. Box 542, 7874 Erat. Rd."	Dos Hermanas	Andalucía	23107
09/04/92	lorem.ac.risus@cursusinhendrerit.ca	Echo Hancock	873-5448 Enim. Road	Vienna	Wi	34348
09/05/98	nonummy@arcu.com	Amery Terrell	"P.O. Box 113, 6771 Ut Ave"	Windsor	Ontario	84599
11/27/88	ipsum@non.org	Madonna Hines	Ap #657-5522 Mauris Rd.	Vienna	Vienna	47533
03/19/93	ut@a.ca	Brent Cline	427-9012 Phasellus Road	Lairg	Sutherland	66181
02/06/91	auctor@acsem.co.uk	Anastasia Bush	"P.O. Box 390, 9597 Nec Ave"	Ashburton	SI	17693
03/20/95	Suspendisse.tristique.neque@orci.com	Edward Baxter	"P.O. Box 713, 3789 Vivamus Rd."	Deurne	AN	35364
01/14/93	at.iaculis@Sednec.co.uk	Erin Gay	Ap #596-9483 Sed Av.	Lugo	Galicia	25403
08/14/96	Donec.feugiat.metus@Curae.ca	Flavia Peters	Ap #421-5526 Et Rd.	Levallois-Perret	Î	87213
01/15/00	blandit.congue.In@orci.org	Cameron Forbes	Ap #594-152 Luctus Ave	Vienna	Vienna	63635
05/25/96	augue@convallisconvallis.ca	Laurel Fulton	Ap #240-7917 Donec Street	Vienna	Wi	97269
10/15/90	eget.venenatis@massa.net	Leilani Sampson	647-631 In St.	Aachen	NW	75510
11/11/96	malesuada@egetmollislectus.net	Hamish William	1498 Enim Av.	São José	SC	98704
09/15/99	nunc.nulla@a.org	Linus Herman	Ap #814-3167 Pellentesque. St.	Bitterfeld-Wolfen	Saxony-Anhalt	54734
04/06/91	amet.risus@laciniavitaesodales.com	Robert Mack	2862 Ligula. Street	Kettering	NT	76906
07/02/89	mollis.dui.in@diameudolor.ca	Hope Russo	"P.O. Box 301, 2871 Sed Street"	San Nicolás	Cartago	85035
05/11/97	Sed@etpedeNunc.com	Hamilton Kinney	"P.O. Box 857, 513 Ornare St."	Thurso	QC	71102
